addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Москва, Перерва, 19с11",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6539, 37.7319,,,,,34,,,,https://www.gpnbonus.ru/
"Душанбе, Джами (пересечение с Камонгарон)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5280, 68.7432,,,,,35,,,,https://www.gpnbonus.ru/
"Екатеринбург, Щербакова, 216",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.7568, 60.6736,,,,,36,,,,https://www.gpnbonus.ru/
"Новосибирск, Молодости, 23",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.8600, 82.9673,,,,,37,,,,https://www.gpnbonus.ru/
"Омск, Бульварная, 4/2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9647, 73.3982,,,,,38,,,,https://www.gpnbonus.ru/
"Бишкек, Б.Юнусалиева, 23/3",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8282, 74.6219,,,,,39,,,,https://www.gpnbonus.ru/
"Нур-Султан, Богенбай батыра, 24",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.174, 71.4027,,,,,40,,,,https://www.gpnbonus.ru/
"Краснодар, 1-я Дорожная, 33",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.1306, 38.9969,,,,,41,,,,https://www.gpnbonus.ru/
"Питикасы, М7( Вурман-Сюктерское, придорожная полоса на км 631+200 южнее Шобашкаркасы)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.0702, 46.9764,,,,,42,,,,https://www.gpnbonus.ru/
"Кемерово, Нахимова, 250, 2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.4371, 86.1378,,,,,43,,,,https://www.gpnbonus.ru/
"Ярославль, Магистральная, 1А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.6153, 39.8406,,,,,44,,,,https://www.gpnbonus.ru/
"Москва, Поляны, 3В",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.5616, 37.5563,,,,,45,,,,https://www.gpnbonus.ru/
"Турсунзаде, Турсунзода 219 (3-5 мкр.)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5109, 68.214,,,,,46,,,,https://www.gpnbonus.ru/
"Билимбай, Ленина, 86",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.96, 59.8241,,,,,47,,,,https://www.gpnbonus.ru/
"Кемерово, Нахимова, 210",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.4120, 86.115,,,,,48,,,,https://www.gpnbonus.ru/
"Омск, 10 лет Октября, 223",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9945, 73.4866,,,,,49,,,,https://www.gpnbonus.ru/
"Бишкек, Токомбаева, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8257, 74.611,,,,,50,,,,https://www.gpnbonus.ru/
"Нур-Султан, Абая, 105",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1639, 71.4711,,,,,51,,,,https://www.gpnbonus.ru/
